Order,Brüt m²,Net m²,Rooms,Bath,Floors,Floor Location,Building Age,Heating Type,Furniture,Using Status,Building Status,Housing Type,Rent Earning,From,Suitable for Credit,Price,Coord1,Coord2,Street,District,Location3,Due Price,Suitable for exchange
1,122,121,3+1,2,10-20 arası,7,0,Güneş Enerjisi,,,Yapım Aşamasında,,0,,Evet,610000,41.13268,28.83236,Eski Habipler,Sultangazi, İstanbul,0,
2,127,100,2+1,2,20 ve üzeri,10,0,Klima,Eşyasız,Boş,,Ara Kat,0,,Hayır,775000,41.1242023,28.77018093,Kayabaşı,Başakşehir, İstanbul,0,
3,130,129,2+1,2,5,1,6-10 arası,Klima,Sadece Beyaz Eşya,Boş,,Ara Kat,0,,Evet,630000,41.03923143,28.76435098,Atakent,Küçükçekmece, İstanbul,0,
4,125,95,3+1,2,10,9,0,Kombi (Doğalgaz),,Boş,Sıfır,Ara Kat,,,Evet,665000,40.98215049,29.08417907,Sahrayı Cedit,Kadıköy, İstanbul,,
5,120,115,3+1,1,5,Giriş Katı,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Giriş Kat,,,Evet,142000,40.99960753,28.66290536,Beylikdüzü OSB,Beylikdüzü, İstanbul,,Evet
6,120,119,3+1,1,5,4,21-25 arası,Kombi (Doğalgaz),Eşyasız,Kiracılı,İkinci El,Ara Kat,1600,Danışman,Evet,420000,41.01228051,28.86272013,Soğanlı,Bahçelievler, İstanbul,0,
7,90,85,2+1,1,6,2,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,0,İnşaat Geliştirici,Evet,215000,41.02783133,28.69641387,Yunus Emre,Esenyurt, İstanbul,0,Evet
8,110,100,2+1,1,,,,,,,,,,,Hayır,185000,41.05383247,28.80408268,Mehmet Akif,Küçükçekmece, İstanbul,,
9,100,90,2+1,1,4,3,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,,Danışman,Evet,225000,41.00928025,28.66503218,Güzelyurt,Esenyurt, İstanbul,,Evet
10,130,90,2+1,1,5,4,31-35 arası,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,İkinci El,,0,,Evet,900000,41.11945209,29.09751623,İncirköy,Beykoz, İstanbul,0,
11,74,52,1+1,1,7,4,0,Merkezi Sistem (Isı Payı Ölçer),Eşyasız,Boş,Sıfır,Ara Kat,2500,Danışman,Evet,750000,41.04510116,28.95889453,Piyalepaşa,Beyoğlu, İstanbul,0,Evet
12,121,105,3+1,2,3,3,21-25 arası,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,İkinci El,En Üst Kat,1800,Danışman,Evet,415000,40.94200204,29.1192281,İdealtepe,Maltepe, İstanbul,,Evet
13,110,95,3+1,1,4,4,26-30 arası,Kombi (Doğalgaz),Eşyasız,Boş,İkinci El,,1600,,Evet,340000,41.01023867,28.86821621,Haznedar,Güngören, İstanbul,30,
14,90,89,2+1,1,4,2,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,1000,Danışman,Evet,209000,40.99856359,29.25355878,Abdurrahmangazi,Sancaktepe, İstanbul,0,
15,130,103,2+2,3,4,Çatı Katı,1,Kombi (Doğalgaz),Eşyasız,Boş,,Çatı Dubleksi,0,,Evet,710000,41.05305506,28.98231515,Duatepe,Şişli, İstanbul,0,
16,122,110,3+1,1,5,3,0,Merkezi Sistem (Isı Payı Ölçer),Eşyasız,Mülk Sahibi,,Ara Kat,0,,Hayır,,41.13152841,28.77983168,Kayabaşı,Başakşehir, İstanbul,0,Evet
17,80,75,2+1,1,4,Yüksek Giriş,1,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,İkinci El,,,Danışman,Evet,250000,40.97855778,28.74310284,Gümüşpala,Avcılar, İstanbul,,
18,105,95,2+1,2,8,5,3,Merkezi Sistem (Isı Payı Ölçer),,Mülk Sahibi,,Ara Kat,,Danışman,Hayır,330000,41.11484707,28.77088789,Kayabaşı,Başakşehir, İstanbul,,
19,137,110,3+1,2,5,Yüksek Giriş,6-10 arası,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,,Ara Kat,0,,Evet,800000,40.91722757,29.1427349,Cevizli,Maltepe, İstanbul,0,
20,70,69,2+1,2,5,2,6-10 arası,Kombi (Doğalgaz),Eşyasız,Kiracılı,İkinci El,Ara Kat,1000,Danışman,Evet,310000,41.02271543,29.09750134,İstiklal,Ümraniye, İstanbul,,
21,120,119,3+1,1,5,4,0,Kombi (Doğalgaz),Eşyalı (Mobilyalı),Boş,,Ara Kat,0,Danışman,Evet,429000,40.92017189,29.21529114,Gümüşpınar,Kartal, İstanbul,0,
22,110,90,2+1,1,4,3,4,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,1300,Danışman,Evet,410000,41.01255333,29.19261635,Madenler,Ümraniye, İstanbul,50,
23,70,50,1+1,1,8,6,6-10 arası,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,0,Danışman,Evet,209000,40.92822205,29.31125639,Yenişehir,Pendik, İstanbul,300,
24,160,90,2+1,1,4,Kot 4,16-20 arası,Yok,Eşyasız,Kiracılı,İkinci El,Teras Katı,8001200,İnşaat Geliştirici,Hayır,175000,,,Üniversite,Avcılar, İstanbul,,
25,110,95,3+1,1,4,2,11-15 arası,Kombi (Doğalgaz),,Boş,İkinci El,,0,,Evet,395000,41.0184441,29.17568,Necip Fazıl,Ümraniye, İstanbul,50,
26,115,90,2+1,1,5,2,40 ve üzeri,Kombi (Doğalgaz),Eşyasız,Boş,İkinci El,Ara Kat,2000,Danışman,Hayır,400000,40.99590226,29.04375694,Hasanpaşa,Kadıköy, İstanbul,25,
27,150,135,3+1,1,10-20 arası,Yüksek Giriş,11-15 arası,Kombi (Doğalgaz),Eşyasız,Kiracılı,İkinci El,Ara Kat,2500,Danışman,Evet,620000,41.07271077,28.96123052,Nurtepe,Kağıthane, İstanbul,170,
